Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),       albite,    anorthite,     sanidine
263,969.00,2.000,-11.421,0.0236,2.6533,53.0442,0.0000,29.9832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.3593,4.4760,0.1372,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.396,-0.329,0.053,0.009,0.029,0.392767,0.599310,0.007923
264,968.50,2.000,-11.438,0.1494,2.6532,53.0636,0.0000,29.9701,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.3440,4.4848,0.1376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.509,-2.088,0.339,0.056,0.181,0.393519,0.598537,0.007944
265,968.00,2.000,-11.455,0.2750,2.6531,53.0830,0.0000,29.9569,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.3286,4.4935,0.1380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.618,-3.843,0.624,0.104,0.333,0.394270,0.597765,0.007965
266,967.50,2.000,-11.472,0.4003,2.6530,53.1024,0.0000,29.9438,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.3132,4.5023,0.1384,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.722,-5.595,0.908,0.151,0.485,0.395019,0.596995,0.007986
267,967.00,2.000,-11.489,0.5254,2.6529,53.1217,0.0000,29.9307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.2979,4.5110,0.1387,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.821,-7.343,1.192,0.198,0.637,0.395767,0.596225,0.008007
268,966.50,2.000,-11.505,0.6503,2.6528,53.1410,0.0000,29.9176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.2826,4.5197,0.1391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.916,-9.088,1.475,0.245,0.788,0.396515,0.595457,0.008029
269,966.00,2.000,-11.522,0.7748,2.6526,53.1603,0.0000,29.9045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.2673,4.5284,0.1395,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.007,-10.830,1.757,0.292,0.939,0.397261,0.594689,0.008050
270,965.50,2.000,-11.539,0.8992,2.6525,53.1796,0.0000,29.8915,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.2520,4.5371,0.1398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-15.093,-12.568,2.038,0.339,1.090,0.398006,0.593923,0.008071
271,965.00,2.000,-11.556,1.0232,2.6524,53.1988,0.0000,29.8784,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.2368,4.5458,0.1402,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-17.174,-14.303,2.319,0.386,1.240,0.398750,0.593158,0.008092
272,964.50,2.000,-11.573,1.1471,2.6523,53.2180,0.0000,29.8654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.2216,4.5544,0.1406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-19.251,-16.034,2.600,0.432,1.391,0.399492,0.592394,0.008113
273,964.00,2.000,-11.590,1.2707,2.6522,53.2372,0.0000,29.8524,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.2064,4.5631,0.1410,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-21.324,-17.762,2.879,0.479,1.540,0.400234,0.591631,0.008135
274,963.50,2.000,-11.606,1.3940,2.6521,53.2564,0.0000,29.8394,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.1912,4.5717,0.1413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-23.392,-19.486,3.158,0.526,1.690,0.400974,0.590870,0.008156
275,963.00,2.000,-11.623,1.5171,2.6520,53.2755,0.0000,29.8264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.1760,4.5804,0.1417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-25.456,-21.208,3.436,0.572,1.839,0.401713,0.590109,0.008177
276,962.50,2.000,-11.640,1.6399,2.6518,53.2946,0.0000,29.8135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.1609,4.5890,0.1421,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.515,-22.925,3.714,0.618,1.988,0.402451,0.589350,0.008199
277,962.00,2.000,-11.657,1.7625,2.6517,53.3137,0.0000,29.8006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.1457,4.5976,0.1425,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-29.570,-24.640,3.991,0.665,2.136,0.403188,0.588592,0.008220
278,961.50,2.000,-11.673,1.8848,2.6516,53.3327,0.0000,29.7876,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.1306,4.6062,0.1428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-31.620,-26.351,4.267,0.711,2.284,0.403924,0.587835,0.008242
279,961.00,2.000,-11.690,2.0069,2.6515,53.3517,0.0000,29.7747,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.1156,4.6147,0.1432,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-33.666,-28.059,4.543,0.757,2.432,0.404658,0.587079,0.008263
280,960.50,2.000,-11.707,2.1288,2.6514,53.3707,0.0000,29.7619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.1005,4.6233,0.1436,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35.708,-29.764,4.818,0.803,2.580,0.405391,0.586324,0.008285
281,960.00,2.000,-11.723,2.2504,2.6513,53.3897,0.0000,29.7490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0855,4.6318,0.1440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.745,-31.465,5.093,0.849,2.727,0.406123,0.585571,0.008306
282,959.50,2.000,-11.740,2.3718,2.6512,53.4086,0.0000,29.7362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0705,4.6404,0.1444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.778,-33.163,5.366,0.895,2.874,0.406853,0.584819,0.008328
283,959.00,2.000,-11.757,2.4929,2.6511,53.4275,0.0000,29.7234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0555,4.6489,0.1447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-41.806,-34.858,5.640,0.940,3.021,0.407583,0.584068,0.008349
284,958.50,2.000,-11.773,2.6138,2.6510,53.4463,0.0000,29.7106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0406,4.6574,0.1451,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-43.831,-36.549,5.912,0.986,3.167,0.408311,0.583318,0.008371
285,958.00,2.000,-11.790,2.7344,2.6509,53.4652,0.0000,29.6978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0256,4.6659,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-45.850,-38.237,6.184,1.032,3.313,0.409038,0.582570,0.008392
286,957.50,2.000,-11.806,2.8548,2.6507,53.4840,0.0000,29.6851,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0107,4.6744,0.1459,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47.866,-39.922,6.455,1.077,3.459,0.409763,0.581823,0.008414
287,957.00,2.000,-11.823,2.9750,2.6506,53.5028,0.0000,29.6723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9958,4.6828,0.1463,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.877,-41.604,6.726,1.122,3.605,0.410487,0.581077,0.008436
288,956.50,2.000,-11.839,3.0949,2.6505,53.5215,0.0000,29.6596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9810,4.6913,0.1467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-51.884,-43.282,6.996,1.168,3.750,0.411210,0.580332,0.008457
289,956.00,2.000,-11.856,3.2146,2.6504,53.5402,0.0000,29.6469,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9661,4.6997,0.1470,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.887,-44.957,7.265,1.213,3.895,0.411932,0.579589,0.008479
290,955.50,2.000,-11.872,3.3341,2.6503,53.5589,0.0000,29.6342,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9513,4.7081,0.1474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-55.886,-46.629,7.534,1.258,4.039,0.412652,0.578847,0.008501
291,955.00,2.000,-11.888,3.4533,2.6502,53.5776,0.0000,29.6216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9365,4.7165,0.1478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-57.880,-48.298,7.802,1.303,4.184,0.413371,0.578106,0.008523
292,954.50,2.000,-11.905,3.5722,2.6501,53.5962,0.0000,29.6090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9218,4.7249,0.1482,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-59.870,-49.963,8.069,1.348,4.328,0.414089,0.577367,0.008544
293,954.00,2.000,-11.921,3.6910,2.6500,53.6148,0.0000,29.5964,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9070,4.7333,0.1486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-61.855,-51.626,8.336,1.393,4.471,0.414805,0.576629,0.008566
294,953.50,2.000,-11.938,3.8095,2.6499,53.6333,0.0000,29.5838,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.8923,4.7416,0.1490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-63.837,-53.285,8.602,1.438,4.615,0.415520,0.575892,0.008588
295,953.00,2.000,-11.954,3.9277,2.6498,53.6519,0.0000,29.5712,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.8776,4.7500,0.1493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-65.814,-54.941,8.868,1.482,4.758,0.416233,0.575157,0.008610
296,952.50,2.000,-11.970,4.0458,2.6497,53.6703,0.0000,29.5587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.8630,4.7583,0.1497,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-67.787,-56.593,9.133,1.527,4.901,0.416946,0.574423,0.008632
297,952.00,2.000,-11.986,4.1636,2.6496,53.6888,0.0000,29.5461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.8483,4.7666,0.1501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-69.756,-58.243,9.397,1.571,5.043,0.417656,0.573690,0.008654
298,951.50,2.000,-12.003,4.2811,2.6494,53.7072,0.0000,29.5337,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.8337,4.7749,0.1505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-71.721,-59.889,9.661,1.616,5.185,0.418366,0.572959,0.008676
299,951.00,2.000,-12.019,4.3984,2.6493,53.7256,0.0000,29.5212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.8191,4.7832,0.1509,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-73.681,-61.533,9.924,1.660,5.327,0.419074,0.572229,0.008698
300,950.50,2.000,-12.035,4.5155,2.6492,53.7440,0.0000,29.5087,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.8046,4.7915,0.1513,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-75.637,-63.173,10.186,1.704,5.469,0.419780,0.571500,0.008719
301,950.00,2.000,-12.051,4.6324,2.6491,53.7623,0.0000,29.4963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.7900,4.7997,0.1517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-77.589,-64.809,10.448,1.749,5.610,0.420486,0.570773,0.008741
302,949.50,2.000,-12.067,4.7490,2.6490,53.7806,0.0000,29.4839,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.7755,4.8079,0.1520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.537,-66.443,10.710,1.793,5.751,0.421190,0.570047,0.008763
303,949.00,2.000,-12.084,4.8654,2.6489,53.7989,0.0000,29.4715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.7611,4.8162,0.1524,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-81.481,-68.074,10.970,1.837,5.892,0.421892,0.569323,0.008785
304,948.50,2.000,-12.100,4.9816,2.6488,53.8171,0.0000,29.4591,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.7466,4.8244,0.1528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-83.421,-69.701,11.230,1.881,6.033,0.422593,0.568599,0.008808
305,948.00,2.000,-12.116,5.0975,2.6487,53.8353,0.0000,29.4468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.7322,4.8325,0.1532,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-85.356,-71.325,11.490,1.925,6.173,0.423293,0.567878,0.008830
306,947.50,2.000,-12.132,5.2132,2.6486,53.8534,0.0000,29.4345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.7178,4.8407,0.1536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-87.287,-72.947,11.748,1.968,6.313,0.423991,0.567158,0.008852
307,947.00,2.000,-12.148,5.3287,2.6485,53.8716,0.0000,29.4222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.7034,4.8489,0.1540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-89.215,-74.565,12.007,2.012,6.452,0.424688,0.566439,0.008874
308,946.50,2.000,-12.164,5.4439,2.6484,53.8896,0.0000,29.4099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6891,4.8570,0.1544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-91.138,-76.180,12.264,2.056,6.592,0.425383,0.565721,0.008896
309,946.00,2.000,-12.180,5.5589,2.6483,53.9077,0.0000,29.3977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6748,4.8651,0.1548,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-93.057,-77.792,12.521,2.099,6.731,0.426077,0.565005,0.008918
310,945.50,2.000,-12.196,5.6737,2.6482,53.9257,0.0000,29.3854,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6605,4.8732,0.1552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-94.972,-79.400,12.778,2.142,6.869,0.426769,0.564291,0.008940
311,945.00,2.000,-12.212,5.7883,2.6481,53.9437,0.0000,29.3732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6462,4.8813,0.1556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-96.883,-81.006,13.033,2.186,7.008,0.427460,0.563578,0.008962
312,944.50,2.000,-12.227,5.9026,2.6480,53.9616,0.0000,29.3611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6320,4.8894,0.1559,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-98.789,-82.608,13.289,2.229,7.146,0.428149,0.562866,0.008985
313,944.00,2.000,-12.243,6.0167,2.6479,53.9796,0.0000,29.3489,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6178,4.8974,0.1563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-100.692,-84.208,13.543,2.272,7.284,0.428837,0.562156,0.009007
314,943.50,2.000,-12.259,6.1306,2.6478,53.9974,0.0000,29.3368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6036,4.9055,0.1567,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-102.591,-85.804,13.797,2.315,7.422,0.429524,0.561447,0.009029
315,943.00,2.000,-12.275,6.2442,2.6477,54.0153,0.0000,29.3247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5894,4.9135,0.1571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-104.485,-87.398,14.050,2.358,7.559,0.430209,0.560740,0.009051
316,942.50,2.000,-12.291,6.3576,2.6476,54.0331,0.0000,29.3126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5753,4.9215,0.1575,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-106.376,-88.988,14.303,2.401,7.696,0.430892,0.560034,0.009074
317,942.00,2.000,-12.306,6.4708,2.6475,54.0508,0.0000,29.3005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5612,4.9295,0.1579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-108.262,-90.575,14.555,2.444,7.833,0.431575,0.559330,0.009096
318,941.50,2.000,-12.322,6.5838,2.6474,54.0686,0.0000,29.2885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5472,4.9375,0.1583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-110.144,-92.159,14.807,2.487,7.969,0.432255,0.558627,0.009118
319,941.00,2.000,-12.338,6.6965,2.6473,54.0863,0.0000,29.2765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5331,4.9454,0.1587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-112.023,-93.740,15.058,2.530,8.105,0.432934,0.557925,0.009140
320,940.50,2.000,-12.353,6.8091,2.6472,54.1039,0.0000,29.2645,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5191,4.9534,0.1591,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-113.897,-95.318,15.308,2.572,8.241,0.433612,0.557225,0.009163
321,940.00,2.000,-12.369,6.9213,2.6471,54.1216,0.0000,29.2525,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5051,4.9613,0.1595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-115.767,-96.893,15.558,2.615,8.377,0.434288,0.556527,0.009185
322,939.50,2.000,-12.385,7.0334,2.6470,54.1391,0.0000,29.2406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.4912,4.9692,0.1599,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-117.634,-98.465,15.807,2.657,8.512,0.434962,0.555830,0.009208
323,939.00,2.000,-12.400,7.1452,2.6469,54.1567,0.0000,29.2287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.4773,4.9771,0.1603,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-119.496,-100.034,16.056,2.699,8.647,0.435635,0.555135,0.009230
324,938.50,2.000,-12.416,7.2569,2.6468,54.1742,0.0000,29.2168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.4634,4.9849,0.1607,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-121.354,-101.600,16.304,2.742,8.782,0.436307,0.554441,0.009252
325,938.00,2.000,-12.431,7.3683,2.6467,54.1917,0.0000,29.2050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.4495,4.9928,0.1611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-123.208,-103.163,16.551,2.784,8.917,0.436977,0.553748,0.009275
326,937.50,2.000,-12.447,7.4794,2.6466,54.2091,0.0000,29.1931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.4357,5.0006,0.1615,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-125.059,-104.722,16.798,2.826,9.051,0.437645,0.553058,0.009297
327,937.00,2.000,-12.462,7.5904,2.6465,54.2265,0.0000,29.1813,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.4219,5.0084,0.1619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-126.905,-106.279,17.044,2.868,9.185,0.438312,0.552368,0.009320
328,936.50,2.000,-12.478,7.7011,2.6464,54.2439,0.0000,29.1695,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.4081,5.0162,0.1623,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-128.747,-107.833,17.290,2.910,9.318,0.438978,0.551680,0.009342
329,936.00,2.000,-12.493,7.8116,2.6463,54.2612,0.0000,29.1578,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.3943,5.0240,0.1627,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-130.586,-109.383,17.535,2.952,9.452,0.439641,0.550994,0.009365
330,935.50,2.000,-12.509,7.9219,2.6462,54.2785,0.0000,29.1460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.3806,5.0318,0.1631,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-132.420,-110.931,17.779,2.994,9.585,0.440304,0.550309,0.009387
331,935.00,2.000,-12.524,8.0319,2.6461,54.2958,0.0000,29.1343,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.3669,5.0395,0.1634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-134.250,-112.476,18.023,3.035,9.718,0.440964,0.549626,0.009410
332,934.50,2.000,-12.539,8.1418,2.6460,54.3130,0.0000,29.1226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.3533,5.0473,0.1638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-136.077,-114.018,18.266,3.077,9.850,0.441624,0.548944,0.009432
333,934.00,2.000,-12.555,8.2514,2.6459,54.3302,0.0000,29.1110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.3396,5.0550,0.1642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-137.899,-115.556,18.509,3.119,9.983,0.442281,0.548264,0.009455
334,933.50,2.000,-12.570,8.3608,2.6458,54.3473,0.0000,29.0993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.3260,5.0627,0.1646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-139.718,-117.092,18.751,3.160,10.115,0.442937,0.547586,0.009477
335,933.00,2.000,-12.585,8.4700,2.6457,54.3644,0.0000,29.0877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.3125,5.0703,0.1650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-141.533,-118.625,18.993,3.201,10.246,0.443592,0.546908,0.009500
336,932.50,2.000,-12.600,8.5789,2.6456,54.3815,0.0000,29.0761,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2989,5.0780,0.1654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-143.343,-120.154,19.234,3.243,10.378,0.444245,0.546233,0.009522
337,932.00,2.000,-12.615,8.6877,2.6455,54.3985,0.0000,29.0646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2854,5.0856,0.1658,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-145.150,-121.681,19.474,3.284,10.509,0.444896,0.545559,0.009545
338,931.50,2.000,-12.631,8.7962,2.6454,54.4155,0.0000,29.0531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2720,5.0933,0.1662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-146.953,-123.205,19.714,3.325,10.640,0.445546,0.544887,0.009568
339,931.00,2.000,-12.646,8.9045,2.6453,54.4324,0.0000,29.0415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2585,5.1009,0.1666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-148.752,-124.726,19.953,3.366,10.771,0.446194,0.544216,0.009590
340,930.50,2.000,-12.661,9.0125,2.6453,54.4493,0.0000,29.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2451,5.1085,0.1670,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-150.547,-126.244,20.191,3.407,10.901,0.446841,0.543546,0.009613
341,930.00,2.000,-12.676,9.1204,2.6452,54.4662,0.0000,29.0186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2317,5.1160,0.1674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-152.338,-127.759,20.429,3.448,11.031,0.447486,0.542879,0.009635
342,929.50,2.000,-12.691,9.2280,2.6451,54.4831,0.0000,29.0072,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2183,5.1236,0.1678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-154.125,-129.270,20.667,3.489,11.161,0.448129,0.542212,0.009658
343,929.00,2.000,-12.706,9.3355,2.6450,54.4998,0.0000,28.9958,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2050,5.1311,0.1682,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-155.909,-130.779,20.904,3.530,11.290,0.448771,0.541548,0.009681
344,928.50,2.000,-12.721,9.4427,2.6449,54.5166,0.0000,28.9844,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.1917,5.1386,0.1686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-157.688,-132.285,21.140,3.570,11.420,0.449412,0.540885,0.009703
345,928.00,2.000,-12.736,9.5496,2.6448,54.5333,0.0000,28.9731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.1785,5.1461,0.1690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-159.464,-133.788,21.376,3.611,11.549,0.450050,0.540223,0.009726
346,927.50,2.000,-12.751,9.6564,2.6447,54.5500,0.0000,28.9617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.1652,5.1536,0.1694,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-161.236,-135.289,21.611,3.651,11.677,0.450688,0.539564,0.009749
347,927.00,2.000,-12.766,9.7630,2.6446,54.5666,0.0000,28.9504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.1520,5.1611,0.1698,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-163.003,-136.786,21.845,3.692,11.806,0.451323,0.538905,0.009772
348,926.50,2.000,-12.780,9.8693,2.6445,54.5832,0.0000,28.9392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.1388,5.1685,0.1702,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-164.767,-138.280,22.079,3.732,11.934,0.451957,0.538249,0.009794
349,926.00,2.000,-12.795,9.9754,2.6444,54.5998,0.0000,28.9279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.1257,5.1759,0.1706,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-166.527,-139.771,22.313,3.772,12.062,0.452590,0.537593,0.009817
