Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),       annite,   phlogopite
493,854.00,2.000,-16.479,0.0152,2.7291,42.9908,0.0000,12.1590,0.0000,0.0000,1.0967,0.0000,28.2229,0.0000,0.0000,0.0000,0.0000,11.2339,0.0000,4.2967,0.0000,0.0000,0.0000,0.0000,-0.248,-0.209,0.035,0.006,0.019,0.021334,0.978666
494,853.50,2.000,-16.485,0.0384,2.7292,42.9901,0.0000,12.1588,0.0000,0.0000,1.1003,0.0000,28.2204,0.0000,0.0000,0.0000,0.0000,11.2337,0.0000,4.2966,0.0000,0.0000,0.0000,0.0000,-0.625,-0.527,0.087,0.014,0.049,0.021405,0.978595
495,853.00,2.000,-16.491,0.0613,2.7293,42.9894,0.0000,12.1586,0.0000,0.0000,1.1039,0.0000,28.2179,0.0000,0.0000,0.0000,0.0000,11.2335,0.0000,4.2965,0.0000,0.0000,0.0000,0.0000,-0.998,-0.841,0.139,0.022,0.078,0.021475,0.978525
496,852.50,2.000,-16.497,0.0840,2.7294,42.9888,0.0000,12.1584,0.0000,0.0000,1.1074,0.0000,28.2155,0.0000,0.0000,0.0000,0.0000,11.2334,0.0000,4.2965,0.0000,0.0000,0.0000,0.0000,-1.368,-1.153,0.191,0.031,0.107,0.021544,0.978456
497,852.00,2.000,-16.503,0.1064,2.7294,42.9881,0.0000,12.1583,0.0000,0.0000,1.1109,0.0000,28.2131,0.0000,0.0000,0.0000,0.0000,11.2332,0.0000,4.2964,0.0000,0.0000,0.0000,0.0000,-1.734,-1.462,0.242,0.039,0.136,0.021612,0.978388
498,851.50,2.000,-16.509,0.1287,2.7295,42.9875,0.0000,12.1581,0.0000,0.0000,1.1144,0.0000,28.2107,0.0000,0.0000,0.0000,0.0000,11.2330,0.0000,4.2963,0.0000,0.0000,0.0000,0.0000,-2.096,-1.767,0.292,0.047,0.164,0.021680,0.978320
499,851.00,2.000,-16.515,0.1507,2.7296,42.9868,0.0000,12.1579,0.0000,0.0000,1.1178,0.0000,28.2084,0.0000,0.0000,0.0000,0.0000,11.2328,0.0000,4.2963,0.0000,0.0000,0.0000,0.0000,-2.454,-2.070,0.342,0.055,0.192,0.021746,0.978254
500,850.50,2.000,-16.521,0.1725,2.7297,42.9862,0.0000,12.1577,0.0000,0.0000,1.1212,0.0000,28.2061,0.0000,0.0000,0.0000,0.0000,11.2327,0.0000,4.2962,0.0000,0.0000,0.0000,0.0000,-2.810,-2.369,0.392,0.063,0.220,0.021812,0.978188
501,850.00,2.000,-16.527,0.1942,2.7298,42.9855,0.0000,12.1575,0.0000,0.0000,1.1245,0.0000,28.2038,0.0000,0.0000,0.0000,0.0000,11.2325,0.0000,4.2961,0.0000,0.0000,0.0000,0.0000,-3.161,-2.666,0.441,0.071,0.247,0.021877,0.978123
502,849.50,2.000,-16.532,0.2156,2.7299,42.9849,0.0000,12.1574,0.0000,0.0000,1.1278,0.0000,28.2015,0.0000,0.0000,0.0000,0.0000,11.2323,0.0000,4.2961,0.0000,0.0000,0.0000,0.0000,-3.510,-2.961,0.489,0.079,0.275,0.021942,0.978058
503,849.00,2.000,-16.538,0.2368,2.7299,42.9843,0.0000,12.1572,0.0000,0.0000,1.1311,0.0000,28.1993,0.0000,0.0000,0.0000,0.0000,11.2322,0.0000,4.2960,0.0000,0.0000,0.0000,0.0000,-3.855,-3.252,0.537,0.087,0.302,0.022006,0.977994
504,848.50,2.000,-16.543,0.2578,2.7300,42.9837,0.0000,12.1570,0.0000,0.0000,1.1343,0.0000,28.1970,0.0000,0.0000,0.0000,0.0000,11.2320,0.0000,4.2960,0.0000,0.0000,0.0000,0.0000,-4.197,-3.541,0.585,0.094,0.328,0.022069,0.977931
505,848.00,2.000,-16.548,0.2787,2.7301,42.9831,0.0000,12.1568,0.0000,0.0000,1.1375,0.0000,28.1948,0.0000,0.0000,0.0000,0.0000,11.2319,0.0000,4.2959,0.0000,0.0000,0.0000,0.0000,-4.536,-3.828,0.632,0.102,0.355,0.022131,0.977869
506,847.50,2.000,-16.554,0.2994,2.7302,42.9825,0.0000,12.1567,0.0000,0.0000,1.1406,0.0000,28.1927,0.0000,0.0000,0.0000,0.0000,11.2317,0.0000,4.2958,0.0000,0.0000,0.0000,0.0000,-4.872,-4.112,0.679,0.110,0.381,0.022193,0.977807
507,847.00,2.000,-16.559,0.3199,2.7303,42.9819,0.0000,12.1565,0.0000,0.0000,1.1437,0.0000,28.1905,0.0000,0.0000,0.0000,0.0000,11.2316,0.0000,4.2958,0.0000,0.0000,0.0000,0.0000,-5.206,-4.393,0.725,0.117,0.407,0.022254,0.977746
508,846.50,2.000,-16.564,0.3402,2.7303,42.9813,0.0000,12.1563,0.0000,0.0000,1.1468,0.0000,28.1884,0.0000,0.0000,0.0000,0.0000,11.2314,0.0000,4.2957,0.0000,0.0000,0.0000,0.0000,-5.536,-4.673,0.771,0.125,0.433,0.022314,0.977686
509,846.00,2.000,-16.569,0.3603,2.7304,42.9807,0.0000,12.1562,0.0000,0.0000,1.1499,0.0000,28.1863,0.0000,0.0000,0.0000,0.0000,11.2313,0.0000,4.2957,0.0000,0.0000,0.0000,0.0000,-5.863,-4.950,0.816,0.132,0.459,0.022373,0.977627
510,845.50,2.000,-16.574,0.3803,2.7305,42.9802,0.0000,12.1560,0.0000,0.0000,1.1529,0.0000,28.1842,0.0000,0.0000,0.0000,0.0000,11.2311,0.0000,4.2956,0.0000,0.0000,0.0000,0.0000,-6.188,-5.224,0.861,0.139,0.484,0.022432,0.977568
511,845.00,2.000,-16.579,0.4002,2.7306,42.9796,0.0000,12.1558,0.0000,0.0000,1.1559,0.0000,28.1822,0.0000,0.0000,0.0000,0.0000,11.2310,0.0000,4.2956,0.0000,0.0000,0.0000,0.0000,-6.510,-5.497,0.906,0.147,0.509,0.022490,0.977510
512,844.50,2.000,-16.583,0.4198,2.7306,42.9790,0.0000,12.1557,0.0000,0.0000,1.1588,0.0000,28.1802,0.0000,0.0000,0.0000,0.0000,11.2308,0.0000,4.2955,0.0000,0.0000,0.0000,0.0000,-6.829,-5.767,0.950,0.154,0.534,0.022548,0.977452
513,844.00,2.000,-16.588,0.4393,2.7307,42.9785,0.0000,12.1555,0.0000,0.0000,1.1617,0.0000,28.1782,0.0000,0.0000,0.0000,0.0000,11.2307,0.0000,4.2954,0.0000,0.0000,0.0000,0.0000,-7.146,-6.035,0.994,0.161,0.559,0.022605,0.977395
514,843.50,2.000,-16.593,0.4587,2.7308,42.9779,0.0000,12.1554,0.0000,0.0000,1.1646,0.0000,28.1762,0.0000,0.0000,0.0000,0.0000,11.2305,0.0000,4.2954,0.0000,0.0000,0.0000,0.0000,-7.460,-6.301,1.038,0.168,0.584,0.022661,0.977339
515,843.00,2.000,-16.597,0.4779,2.7309,42.9774,0.0000,12.1552,0.0000,0.0000,1.1674,0.0000,28.1742,0.0000,0.0000,0.0000,0.0000,11.2304,0.0000,4.2953,0.0000,0.0000,0.0000,0.0000,-7.772,-6.565,1.081,0.175,0.608,0.022717,0.977283
516,842.50,2.000,-16.602,0.4970,2.7309,42.9769,0.0000,12.1551,0.0000,0.0000,1.1702,0.0000,28.1723,0.0000,0.0000,0.0000,0.0000,11.2302,0.0000,4.2953,0.0000,0.0000,0.0000,0.0000,-8.081,-6.828,1.124,0.182,0.632,0.022772,0.977228
517,842.00,2.000,-16.606,0.5159,2.7310,42.9763,0.0000,12.1549,0.0000,0.0000,1.1730,0.0000,28.1704,0.0000,0.0000,0.0000,0.0000,11.2301,0.0000,4.2952,0.0000,0.0000,0.0000,0.0000,-8.388,-7.088,1.166,0.189,0.656,0.022826,0.977174
518,841.50,2.000,-16.610,0.5347,2.7311,42.9758,0.0000,12.1548,0.0000,0.0000,1.1757,0.0000,28.1685,0.0000,0.0000,0.0000,0.0000,11.2300,0.0000,4.2952,0.0000,0.0000,0.0000,0.0000,-8.693,-7.346,1.208,0.196,0.680,0.022880,0.977120
519,841.00,2.000,-16.615,0.5534,2.7312,42.9753,0.0000,12.1546,0.0000,0.0000,1.1785,0.0000,28.1666,0.0000,0.0000,0.0000,0.0000,11.2298,0.0000,4.2951,0.0000,0.0000,0.0000,0.0000,-8.996,-7.603,1.250,0.203,0.704,0.022933,0.977067
